qid	question	focus	sid	url	sentence	annotationOpt
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Their concentrations in polar bear tissues continued to rise for decades after the ban as these chemicals spread through the food chain.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Predictions vary on the extent to which polar bears could adapt to climate change by switching to terrestrial food sources.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	In order to appease the spirit of the bear, there were traditional song and drum music and the skull would be ceremonially fed and offered a pipe.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	"The significance of supplemental food to polar bears during the ice-free period of Hudson Bay".	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	One includes microscopic ocean plants, the animals that feed on them, and finally the animals that feed on those animals.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	The other web includes land plants, the animals that feed on them, and so forth.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	The entire earth can be considered a single global food web, and food webs can also be described for a particular environment.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5E (Grades: 3-5 ): Flow of Matter and Energy 5E/M1c ( Grades: 6-8 ): Plants can use the food they make immediately or store it for later use.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	In most cases, adults release atozoon sperm and eggs into the surrounding water, where the (unprotected) eggs are fertilized and mature into new organisms.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	As food In some countries, such as Japan and Korea, jellyfish are known as a delicacy.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Fresh water is not usually used if the sting occurs in salt water, as changes in tonicity can release additional venom.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	You should buy freshwater supplements because even though the water has salt in it, is is only brackish water, not saltwater, and is still considered freshwater.	?	0.5789
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	6C (Grades: 3-5 ): Basic Functions 8A/P1b ( Grades: K-2 ): To grow well, plants need enough warmth, light, and water.	?	0.5632
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	The order in which the hierarchy is arranged (with self-actualization described as the highest need) has been criticized as being ethnocentric by Geert Hofstede.	?	0.5392
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	In the Pixar film Wall-E, a cockroach that has survived all humanity is the best friend of the lead character (a robot), and waits patiently on him to return.	?	0.5392
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	6 (Grades: K-2 ): The Human Organism 6A (Grades: K-2 ): Human Identity 6B/P1 ( Grades: K-2 ): All kinds of animals have offspring, usually with two parents involved.	?	0.5392
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	You should put the food near the land or even on the land so plants may not be the best solution.	?	0.5337
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	Need land? Or can survive underwater? And a few more questions!? dler Crabs.	?	0.5331
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	9	http://simple.wikipedia.org/wiki/Organism	They need air, water, nutrients ( food), energy and a place to live.	?	0.5094
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	They feed on human and pet food and can leave an offensive odor.	?	0.5029
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	"Polar bears make little use of terrestrial food webs: evidence from stable-carbon isotope analysis".	?	0.5029
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	8	http://curiosity.discovery.com/question/take-dead-body-to-decompose	Animals and insects will feed on the tissue if a body is exposed, also quickening the process.	?	0.5029
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5D (Grades: 3-5 ): Interdependence of Life 5D/E3b ( Grades: 3-5 ): Many plants depend on animals for carrying their pollen to other plants or for dispersing their seeds.	?	0.4482
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	8	http://curiosity.discovery.com/question/take-dead-body-to-decompose	If a body is buried in a coffin deep in the ground, for example, it could take as long as 50 years for all of the tissue to disappear.	?	0.4478
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	The severed head is able to survive and wave its antennae for several hours, or longer when refrigerated and given nutrients.	?	0.4337
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Both plants and animals need air.	?	0.4331
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	9	http://simple.wikipedia.org/wiki/Organism	Many organisms do not need access to air at all.	?	0.4331
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	After the mother leaves, sibling cubs sometimes travel and share food together for weeks or months.	?	0.4266
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	10	https://answers.yahoo.com/question/index?qid=20140226220144AArRafL	This is good and all, but I read that fiddler crabs need land.	?	0.4266
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	For the US citizens, there was only one level of needs since all needs were considered equally important.	?	0.3869
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Almost all parts of captured animals had a use.	?	0.3869
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Focus on the gases plants and animals need, not on understanding the process of photosynthesis.	?	0.3869
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	9	http://simple.wikipedia.org/wiki/Organism	However, not all living things need all these at the same time.	?	0.3869
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	When the capacity of the shelters was increased to more than 50 insects per shelter, all of the cockroaches arranged themselves in one shelter.	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Since not all cockroaches would be molting at the same time, many would be unaffected by an acute burst of radiation, but lingering radioactive fallout would still be harmful.	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Whereas Native communities kill all the polar bears they are permitted to take each year, only half of sport hunters with permits actually manage to kill a polar bear.	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	If all Arctic nations continue to abide by the terms and intent of the Polar Bear Agreement, the future of polar bears is secure ...	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	6B (Grades: K-2 ): Human Development 6C/E2 ( Grades: 3-5 ): By breathing, people take in the oxygen they need to live.	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Jellyfish do not need a respiratory system since their skin is thin enough that the body is oxygenated by diffusion.	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	However, many hydrozoa species do not form medusa at all (such as (genus) hydra, which is hence not considered a jellyfish).	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Siphonophorae are an order of hydrozoa which generally live as colonies (for example, free-swimming chains of repeated units, some units similar to polyps or to medusa).	?	0.3800
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	While they are rare north of 88°, there is evidence that they range all the way across the Arctic, and as far south as James Bay in Canada.	?	0.3795
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5E (Grades: K-2 ): Flow of Matter and Energy 5F/P1 ( Grades: K-2 ): Different plants and animals have external features that help them thrive in different kinds of places.	?	0.3790
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	This network of interconnections is referred to as a food web.	?	0.3574
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Food webs identify the relationships among producers, consumers, and decomposers in an ecosystem.	?	0.3574
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	That energy then passes from organism to organism in food webs.	?	0.3574
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Hsieh, Yun-Hwa and Rudloe, Jack (1994) Trends in Food Science & Technology, 5 (7): 225–229.	?	0.3574
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	While all bears are short-tailed, the polar bear's tail is relatively the shortest amongst living bears, ranging from 7 to 13 cm (2.8 to 5.1 in) in length.	?	0.3107
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	5B (Grades: 6-8 ): Heredity 5B/M1a (Grades: 6-8 ): In some kinds of organisms, all the genes come from a single parent.	?	0.3107
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Most terrestrial animals in the Arctic can outrun the polar bear on land as polar bears overheat quickly, and most marine animals the bear encounters can outswim it.	?	0.3030
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	8E (Grades: 6-8 ): Information Processing 8E/M1 (Grades: 6-8 ): Most computers use digital codes containing only two symbols, 0 and 1, to perform all operations.	?	0.2584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	2	http://www.answers.com/article/1195822/10-plants-to-eat-if-you-need-to-survive-in-the-wild	The large leaves are bitter when eaten and to make them taste the best, you should boil them twice to get all the bitterness out.	?	0.2347
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	The baby fur of most Arctic seal species is white, presumably to provide camouflage from predators, whereas Antarctic seals all have dark fur at birth.	?	0.2347
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Humans need to love and be loved – both sexually and non-sexually – by others.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Termites were previously regarded as a separate order Isoptera to cockroaches.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Not all depictions of cockroaches are purely negative, however.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	The Soviet Union banned all hunting in 1956.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Norway is the only country of the five in which all harvest of polar bears is banned.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Greenland In Greenland, hunting restrictions were first introduced in 1994 and expanded by executive order in 2005.	?	0.2277
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Frequently living outdoors, although preferring warm climates and considered "cold intolerant", they are resilient enough to survive occasional freezing temperatures.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	5	http://en.wikipedia.org/wiki/Polar_bear	Being both curious animals and scavengers, polar bears investigate and consume arbage where they come into contact with humans.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	4C (Grades: 9-12 ): Processes that Shape the Earth 4C/P3 ( Grades: K-2 ): Animals and plants sometimes cause changes in their surroundings.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	They are typified as free-swimming marine animals consisting of a gelatinous umbrella-shaped bell and trailing tentacles.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Some other animals are frequently associated with or mistaken for medusa jellyfish.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	7	http://en.wikipedia.org/wiki/Jellyfish	Often the tank's background is blue and the animals are illuminated by side light, increasing the contrast between the animal and the background.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	8	http://curiosity.discovery.com/question/take-dead-body-to-decompose	Animals and insects will consume parts of the body if it's exposed to them.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	9	http://simple.wikipedia.org/wiki/Organism	Animals and plants are organisms, obviously.	?	0.2267
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	This level is more likely to be found in children because they generally have a greater need to feel safe.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	This need for belonging may overcome the physiological and security needs, depending on the strength of the peer pressure.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	People with low self-esteem often need respect from others; they may feel the need to seek fame or glory.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Most people have a need for stable self-respect and self-esteem.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	The "lower" version of esteem is the need for respect from others.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	This may include a need for status, recognition, fame, prestige, and attention.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	The "higher" version manifests itself as the need for self-respect.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	For example, the person may have a need for strength, competence, mastery, self-confidence, independence, and freedom.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	This level of need refers to what a person's full potential is and the realization of that potential.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Individuals may perceive or focus on this need very specifically.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Maslow reconsidered: A review of research on the need hierarchy theory.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	1	http://en.wikipedia.org/wiki/Maslow's_hierarchy_of_needs	Age differences in motivation related to Maslow's need hierarchy.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	All four wings have branching longitudinal veins, and multiple cross-veins.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Thus, cockroaches, like all insects, are not dependent on the mouth and windpipe to breathe.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	A few species are known to be parthenogenetic, reproducing without the need for males.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	3	http://en.wikipedia.org/wiki/Cockroach	Order Blattodea Brunner von Wattenwyl, 1882.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	4	http://www.brainpop.com/educators/community/bp-jr-topic/needs-and-wants/	Students will explore the difference between a need and a want, analyze examples of goods and services, and distinguish between producers and consumers.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	For students in grades K-2, alert them to look for things that beavers need to stay alive.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	Tell them to look for things that plants need to stay alive.	?	0.1584
407	Is it true that all animals do need water, air, and food in order to survive? 	water, air, and food	6	http://www.pbslearningmedia.org/resource/tdc02.sci.life.colt.lp_stayalive/the-needs-of-living-things/	In addition, plants need light.	?	0.1584
